 
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp Dbl
2009-10,21,GSW,NBA,PG,80,77,2896,528,1143,.462,166,380,.437,362,763,.474,.535,177,200,.885,48,308,356,472,152,19,243,252,1399,,1
2010-11,22,GSW,NBA,PG,74,74,2489,505,1053,.480,151,342,.442,354,711,.498,.551,212,227,.934,52,234,286,432,109,20,226,233,1373,,0
2011-12,23,GSW,NBA,PG,26,23,732,145,296,.490,55,121,.455,90,175,.514,.583,38,47,.809,15,73,88,138,39,8,65,62,383,,0
2012-13,24,GSW,NBA,PG,78,78,2983,626,1388,.451,272,600,.453,354,788,.449,.549,262,291,.900,59,255,314,539,126,12,240,198,1786,,0
2013-14,25,GSW,NBA,PG,78,78,2846,652,1383,.471,261,615,.424,391,768,.509,.566,308,348,.885,46,288,334,666,128,14,294,194,1873,,4
2014-15,26,GSW,NBA,PG,80,80,2613,653,1341,.487,286,646,.443,367,695,.528,.594,308,337,.914,56,285,341,619,163,16,249,158,1900,,0
2015-16,27,GSW,NBA,PG,79,79,2700,805,1598,.504,402,886,.454,403,712,.566,.630,363,400,.908,68,362,430,527,169,15,262,161,2375,,2
2016-17,28,GSW,NBA,PG,79,79,2638,675,1443,.468,324,789,.411,351,654,.537,.580,325,362,.898,61,292,353,524,142,17,239,183,1999,,0
2017-18,29,GSW,NBA,PG,51,51,1631,428,864,.495,212,501,.423,216,363,.595,.618,278,302,.921,36,225,261,310,80,8,153,114,1346,,0
2018-19,30,GSW,NBA,PG,69,69,2331,632,1340,.472,354,810,.437,278,530,.525,.604,263,287,.916,45,324,369,361,92,25,192,166,1881,,0
2019-20,31,GSW,NBA,PG,5,5,139,33,82,.402,12,49,.245,21,33,.636,.476,26,26,1.000,4,22,26,33,5,2,16,11,104,,0
2020-21,32,GSW,NBA,PG,63,63,2152,658,1365,.482,337,801,.421,321,564,.569,.605,362,395,.916,29,316,345,363,77,8,213,119,2015,,0
2021-22,33,GSW,NBA,PG,20,20,686,183,405,.452,108,262,.412,75,143,.524,.585,82,87,.943,11,102,113,132,36,11,64,36,556,,1
Career,,,NBA,,782,776,26836,6523,13701,.476,2940,6802,.432,3583,6899,.519,.583,3004,3309,.908,530,3086,3616,5116,1318,175,2456,1887,18990,,8
